id,lastLogOff,timeCreated,accountAge,accountAgePersonal,nrOfGamesOwned,totalNumberOfGamesPlayedFriends,meanNumberOfPGameslayedFriends,nrOfGamesPlayed,totalPlaytime,nrOfFriends,totalPlaytimeFriends,meanPlaytimeFriends,totalNrOfGamesOwnedFriends,meanNrOfGamesOwnedFriends,totalAccountAgeFriends,meanAccountAgeFriends,totalAccountAgeFriendsPersonal,meanAccountAgeFriendsPersonal
7.656119820932816e+16,1511809603.0,1438064621.0,74092543.0,73744982.0,11.0,518.0,51.8,11.0,130852.0,10.0,1277328.0,127732.8,702.0,70.2,1601111487.0,160111148.7,1593559086.0,159355908.6
7.65611983350519e+16,1511726925.0,1475603615.0,36553549.0,36123310.0,21.0,51.0,7.285714285714286,21.0,36661.0,7.0,242982.0,34711.71428571428,74.0,10.571428571428571,328380058.0,46911436.85714286,318867003.0,45552429.0
7.656119828454131e+16,1511627984.0,1455729035.0,56428129.0,55898949.0,14.0,65.0,10.833333333333334,11.0,57108.0,6.0,1104270.0,184045.0,103.0,17.166666666666668,842436098.0,140406016.33333334,834551592.0,139091932.0
7.656119801860526e+16,1511871045.0,1261748897.0,250408267.0,250122148.0,7.0,2076.0,32.4375,5.0,173607.0,64.0,11402553.0,178164.890625,4287.0,66.984375,12028602484.0,187946913.8125,11783701838.0,184120341.21875
7.656119835688397e+16,1511210227.0,1483283858.0,28873306.0,27926369.0,45.0,144.0,18.0,31.0,87878.0,8.0,460544.0,57568.0,182.0,22.75,702268812.0,87783601.5,694591551.0,86823943.875
7.656119810863878e+16,1493959944.0,1380220777.0,131936387.0,113739167.0,48.0,19.0,3.1666666666666665,8.0,6498.0,6.0,16014.0,2669.0,60.0,10.0,552630812.0,92105135.33333333,541358843.0,90226473.83333333
7.65611980596991e+16,1511029781.0,1330749560.0,181407604.0,180280221.0,64.0,699.0,53.76923076923077,49.0,138964.0,13.0,1361558.0,104735.23076923077,1134.0,87.23076923076923,1605657089.0,123512083.76923077,1478670415.0,113743878.07692307
7.656119813788678e+16,1511120486.0,1400960861.0,111196303.0,110159625.0,43.0,111.0,18.5,29.0,211413.0,6.0,701301.0,116883.5,130.0,21.666666666666668,440146857.0,73357809.5,434420473.0,72403412.16666667
7.65611983081355e+16,1507372178.0,1464420394.0,47736770.0,42951784.0,2.0,271.0,27.1,2.0,78725.0,10.0,1053788.0,105378.8,352.0,35.2,624748915.0,62474891.5,616190716.0,61619071.6
7.656119812792797e+16,1511900175.0,1393537086.0,118620078.0,118363089.0,14.0,331.0,36.77777777777778,7.0,114066.0,9.0,1385181.0,153909.0,556.0,61.77777777777778,1210104304.0,134456033.7777778,1203728348.0,133747594.22222222
7.656119813186566e+16,1508524930.0,1396502533.0,115654631.0,112022397.0,6.0,2609.0,89.96551724137932,3.0,35748.0,29.0,8876864.0,306098.7586206897,4650.0,160.3448275862069,4268234562.0,147180502.13793105,4239920324.0,146204149.10344827
7.656119832538898e+16,1511150996.0,1471454061.0,40703103.0,39696935.0,5.0,313.0,17.38888888888889,5.0,119112.0,18.0,2576372.0,143131.77777777778,457.0,25.38888888888889,2552609621.0,141811645.6111111,2525724094.0,140318005.2222222
7.656119831702584e+16,1512120318.0,1468010743.0,44146421.0,44109575.0,62.0,3209.0,42.223684210526315,50.0,55396.0,76.0,6627367.0,87202.19736842105,5837.0,76.80263157894737,9172036365.0,120684689.01315789,9151838074.0,120418922.0263158
7.656119811903043e+16,1510851704.0,1387729681.0,124427483.0,123122023.0,12.0,660.0,30.0,8.0,129876.0,22.0,3941827.0,179173.95454545456,1154.0,52.45454545454545,4269337326.0,194060787.54545453,4163392918.0,189245132.63636363
7.656119819676344e+16,1510338940.0,1431766569.0,80390595.0,78572371.0,16.0,790.0,60.76923076923077,13.0,94488.0,13.0,1833925.0,141071.15384615384,1316.0,101.23076923076923,2202792346.0,169445565.07692307,2198277476.0,169098267.3846154
7.656119804725728e+16,1512086579.0,1313814807.0,198342357.0,198271772.0,60.0,489.0,23.285714285714285,46.0,89421.0,21.0,2181788.0,103894.66666666667,817.0,38.904761904761905,4395904704.0,209328795.42857143,3806329105.0,181253766.9047619
7.656119808781664e+16,1511539805.0,1364835936.0,147321228.0,146703869.0,33.0,41.0,3.727272727272727,2.0,13543.0,11.0,52272.0,4752.0,96.0,8.727272727272727,1344725921.0,122247811.0,1232084897.0,112007717.9090909
7.656119798676344e+16,1510776073.0,1166122979.0,346034185.0,344653094.0,25.0,751.0,83.44444444444444,21.0,111934.0,9.0,2101635.0,233515.0,1132.0,125.77777777777777,2114826321.0,234980702.33333334,1856850116.0,206316679.55555555
7.656119839353784e+16,1511546594.0,1496811785.0,15345379.0,14734809.0,2.0,167.0,20.875,2.0,31492.0,8.0,485239.0,60654.875,231.0,28.875,735288863.0,91911107.875,729473666.0,91184208.25
7.65611982076848e+16,1511506014.0,1437235448.0,74921716.0,74270566.0,2.0,79.0,8.777777777777779,2.0,33496.0,9.0,793242.0,88138.0,90.0,10.0,613466932.0,68162992.44444445,605372805.0,67263645.0
7.656119807622872e+16,1504792618.0,1353392312.0,158764852.0,151400306.0,31.0,436.0,13.212121212121213,18.0,1269.0,33.0,975416.0,29558.060606060608,1047.0,31.727272727272727,4303668268.0,130414189.93939394,4185536594.0,126834442.24242425
7.656119837560952e+16,1511272459.0,1490199743.0,21957421.0,21072716.0,12.0,1099.0,32.3235294117647,10.0,80463.0,34.0,8281730.0,243580.29411764705,1660.0,48.8235294117647,4243987210.0,124823153.23529412,4210057385.0,123825217.20588236
7.656119804188955e+16,1511893747.0,1305414892.0,206742272.0,206478855.0,52.0,417.0,26.0625,22.0,485990.0,16.0,5180404.0,323775.25,718.0,44.875,3642071806.0,227629487.875,3608981082.0,225561317.625
7.656119810266341e+16,1510914159.0,1376360526.0,135796638.0,134553633.0,7.0,7.0,1.0,4.0,6920.0,7.0,18621.0,2660.1428571428573,53.0,7.571428571428571,716055891.0,102293698.71428572,699842279.0,99977468.42857143
7.65611982064079e+16,1511941852.0,1421508154.0,90649010.0,90433698.0,85.0,1365.0,65.0,23.0,88485.0,21.0,3091946.0,147235.52380952382,2730.0,130.0,3162317479.0,150586546.6190476,3105689908.0,147889995.6190476
7.65611982468393e+16,1511073833.0,1440590683.0,71566481.0,70483150.0,16.0,482.0,60.25,12.0,55846.0,8.0,1549373.0,193671.625,623.0,77.875,1367364991.0,170920623.875,1361675571.0,170209446.375
7.656119809828163e+16,1511982815.0,1374006691.0,138150473.0,137976124.0,164.0,396.0,33.0,128.0,135707.0,12.0,1764587.0,147048.91666666666,634.0,52.833333333333336,2404054366.0,200337863.83333334,2396102991.0,199675249.25
7.656119815157723e+16,1510653134.0,1408954817.0,103202347.0,101698317.0,48.0,457.0,57.125,47.0,234095.0,8.0,986271.0,123283.875,587.0,73.375,1157745784.0,144718223.0,1135759046.0,141969880.75
7.656119802231115e+16,1511445155.0,1268449088.0,243708076.0,242996067.0,18.0,66.0,6.6,18.0,72820.0,10.0,146461.0,14646.1,149.0,14.9,1433480817.0,143348081.7,1414970057.0,141497005.7
7.65611980689888e+16,1507672868.0,1344507638.0,167649526.0,163165230.0,118.0,2126.0,132.875,96.0,234519.0,16.0,3336198.0,208512.375,2884.0,180.25,2775881502.0,173492593.875,2760612337.0,172538271.0625
7.656119818502782e+16,1511453317.0,1426256689.0,85900475.0,85196628.0,2.0,147.0,21.0,2.0,10395.0,7.0,182604.0,26086.285714285714,275.0,39.285714285714285,852570505.0,121795786.42857143,846207185.0,120886740.71428572
7.656119837893808e+16,1511291191.0,1491749986.0,20407178.0,19541205.0,3.0,52.0,4.333333333333333,3.0,9142.0,12.0,455347.0,37945.583333333336,63.0,5.25,637102627.0,53091885.583333336,631252698.0,52604391.5
7.65611982411604e+16,1511187196.0,1437902938.0,74254226.0,73284258.0,27.0,360.0,36.0,26.0,87954.0,10.0,722882.0,72288.2,521.0,52.1,929481215.0,92948121.5,907490534.0,90749053.4
7.6561198161531e+16,1511081063.0,1414947992.0,97209172.0,96133071.0,88.0,393.0,65.5,82.0,102181.0,6.0,921704.0,153617.33333333334,577.0,96.16666666666667,970531715.0,161755285.83333334,964978911.0,160829818.5
