id,lastLogOff,timeCreated,accountAge,accountAgePersonal,totalPlaytime,nrOfFriends,totalPlaytimeFriends,meanPlaytimeFriends,totalGamecountFriends,meanGamecountFriends,totalAccountAgeFriends,meanAccountAgeFriends,totalAccountAgeFriendsPersonal,meanAccountAgeFriendsPersonal
7.656119810863878e+16,1493959944.0,1380220777.0,131936278.0,113739167.0,6498.0,6.0,16014.0,2669.0,60.0,10.0,552630158.0,92105026.33333333,541358843.0,90226473.83333333
7.65611980596991e+16,1511029781.0,1330749560.0,181407495.0,180280221.0,138964.0,13.0,1361558.0,104735.23076923077,1134.0,87.23076923076923,1605655672.0,123511974.76923077,1478670415.0,113743878.07692307
7.656119813788678e+16,1511120486.0,1400960861.0,111196194.0,110159625.0,211413.0,6.0,701301.0,116883.5,130.0,21.666666666666668,440146203.0,73357700.5,434420473.0,72403412.16666667
7.65611983081355e+16,1507372178.0,1464420394.0,47736661.0,42951784.0,78725.0,10.0,1053788.0,105378.8,352.0,35.2,624747825.0,62474782.5,616190716.0,61619071.6
7.656119812792797e+16,1511900175.0,1393537086.0,118619969.0,118363089.0,114066.0,9.0,1385181.0,153909.0,556.0,61.77777777777778,1210103323.0,134455924.7777778,1203728348.0,133747594.22222222
7.656119813186566e+16,1508524930.0,1396502533.0,115654522.0,112022397.0,35748.0,29.0,8876864.0,306098.7586206897,4650.0,160.3448275862069,4268231401.0,147180393.13793105,4239920324.0,146204149.10344827
7.656119832538898e+16,1511150996.0,1471454061.0,40702994.0,39696935.0,119112.0,18.0,2576372.0,143131.77777777778,457.0,25.38888888888889,2552607659.0,141811536.6111111,2525724094.0,140318005.2222222
7.656119831702584e+16,1512120318.0,1468010743.0,44146312.0,44109575.0,55396.0,76.0,6627367.0,87202.19736842105,5837.0,76.80263157894737,9172028081.0,120684580.01315789,9151838074.0,120418922.0263158
7.656119811903043e+16,1510851704.0,1387729681.0,124427374.0,123122023.0,129876.0,22.0,3941827.0,179173.95454545456,1154.0,52.45454545454545,4269334928.0,194060678.54545453,4163392918.0,189245132.63636363
7.656119819676344e+16,1510338940.0,1431766569.0,80390486.0,78572371.0,94488.0,13.0,1833925.0,141071.15384615384,1316.0,101.23076923076923,2202790929.0,169445456.07692307,2198277476.0,169098267.3846154
7.656119804725728e+16,1512086579.0,1313814807.0,198342248.0,198271772.0,89421.0,21.0,2181788.0,103894.66666666667,817.0,38.904761904761905,4395902415.0,209328686.42857143,3806329105.0,181253766.9047619
7.656119808781664e+16,1511539805.0,1364835936.0,147321119.0,146703869.0,13543.0,11.0,52272.0,4752.0,96.0,8.727272727272727,1344724722.0,122247702.0,1232084897.0,112007717.9090909
7.656119798676344e+16,1510776073.0,1166122979.0,346034076.0,344653094.0,111934.0,9.0,2101635.0,233515.0,1132.0,125.77777777777777,2114825340.0,234980593.33333334,1856850116.0,206316679.55555555
7.656119839353784e+16,1511546594.0,1496811785.0,15345270.0,14734809.0,31492.0,8.0,485239.0,60654.875,231.0,28.875,735287991.0,91910998.875,729473666.0,91184208.25
7.65611982076848e+16,1511506014.0,1437235448.0,74921607.0,74270566.0,33496.0,9.0,793242.0,88138.0,90.0,10.0,613465951.0,68162883.44444445,605372805.0,67263645.0
7.656119807622872e+16,1504792618.0,1353392312.0,158764743.0,151400306.0,1269.0,33.0,975416.0,29558.060606060608,1047.0,31.727272727272727,4303664671.0,130414080.93939394,4185536594.0,126834442.24242425
7.656119837560952e+16,1511272459.0,1490199743.0,21957312.0,21072716.0,80463.0,34.0,8281730.0,243580.29411764705,1660.0,48.8235294117647,4243983504.0,124823044.23529412,4210057385.0,123825217.20588236
7.656119804188955e+16,1511893747.0,1305414892.0,206742163.0,206478855.0,485990.0,16.0,5180404.0,323775.25,718.0,44.875,3642070062.0,227629378.875,3608981082.0,225561317.625
7.656119810266341e+16,1510914159.0,1376360526.0,135796529.0,134553633.0,6920.0,7.0,18621.0,2660.1428571428573,53.0,7.571428571428571,716055128.0,102293589.71428572,699842279.0,99977468.42857143
7.65611982064079e+16,1511941852.0,1421508154.0,90648901.0,90433698.0,88485.0,21.0,3091946.0,147235.52380952382,2730.0,130.0,3162315190.0,150586437.6190476,3105689908.0,147889995.6190476
7.65611982468393e+16,1511073833.0,1440590683.0,71566372.0,70483150.0,55846.0,8.0,1549373.0,193671.625,623.0,77.875,1367364119.0,170920514.875,1361675571.0,170209446.375
7.656119809828163e+16,1511982815.0,1374006691.0,138150364.0,137976124.0,135707.0,12.0,1764587.0,147048.91666666666,634.0,52.833333333333336,2404053058.0,200337754.83333334,2396102991.0,199675249.25
7.656119815157723e+16,1510653134.0,1408954817.0,103202238.0,101698317.0,234095.0,8.0,986271.0,123283.875,587.0,73.375,1157744912.0,144718114.0,1135759046.0,141969880.75
7.656119802231115e+16,1511445155.0,1268449088.0,243707967.0,242996067.0,72820.0,10.0,146461.0,14646.1,149.0,14.9,1433479727.0,143347972.7,1414970057.0,141497005.7
7.65611980689888e+16,1507672868.0,1344507638.0,167649417.0,163165230.0,234519.0,16.0,3336198.0,208512.375,2884.0,180.25,2775879758.0,173492484.875,2760612337.0,172538271.0625
7.656119818502782e+16,1511453317.0,1426256689.0,85900366.0,85196628.0,10395.0,7.0,182604.0,26086.285714285714,275.0,39.285714285714285,852569742.0,121795677.42857143,846207185.0,120886740.71428572
7.656119837893808e+16,1511291191.0,1491749986.0,20407069.0,19541205.0,9142.0,12.0,455347.0,37945.583333333336,63.0,5.25,637101319.0,53091776.583333336,631252698.0,52604391.5
7.65611982411604e+16,1511187196.0,1437902938.0,74254117.0,73284258.0,87954.0,10.0,722882.0,72288.2,521.0,52.1,929480125.0,92948012.5,907490534.0,90749053.4
7.6561198161531e+16,1511081063.0,1414947992.0,97209063.0,96133071.0,102181.0,6.0,921704.0,153617.33333333334,577.0,96.16666666666667,970531061.0,161755176.83333334,964978911.0,160829818.5
7.656119821824173e+16,1508525008.0,1426699712.0,85457343.0,81825296.0,42208.0,13.0,2752950.0,211765.38461538462,310.0,23.846153846153847,3044023209.0,234155631.46153846,3033940981.0,233380075.46153846
7.656119805733574e+16,1511608735.0,1327013925.0,185143130.0,184594810.0,225426.0,7.0,1930465.0,275780.71428571426,745.0,106.42857142857143,1014489610.0,144927087.14285713,1007671993.0,143953141.85714287
7.656119813123747e+16,1511559847.0,1396024755.0,116132300.0,115535092.0,166974.0,17.0,3288580.0,193445.88235294117,1781.0,104.76470588235294,2883060269.0,169591780.52941176,2866106760.0,168594515.29411766
7.65611980990633e+16,1512055048.0,1374369165.0,137787890.0,137685883.0,17960.0,16.0,1593286.0,99580.375,2664.0,166.5,1307130968.0,81695685.5,1303478534.0,81467408.375
7.656119807079712e+16,1506385312.0,1346633302.0,165523753.0,159752010.0,23245.0,6.0,637478.0,106246.33333333333,531.0,88.5,1225438131.0,204239688.5,1221036782.0,203506130.33333334
7.656119811375472e+16,1510321632.0,1383814625.0,128342430.0,126507007.0,69457.0,17.0,212987.0,12528.64705882353,393.0,23.11764705882353,2086109900.0,122712347.05882353,1909911466.0,112347733.29411764
7.656119808467976e+16,1511223315.0,1361645478.0,150511577.0,149577837.0,47705.0,50.0,3588343.0,71766.86,3195.0,63.9,8834601665.0,176692033.3,8769829361.0,175396587.22
7.656119824813443e+16,1510506910.0,1441112310.0,71044745.0,69394600.0,31857.0,14.0,1901713.0,135836.64285714287,364.0,26.0,1846429738.0,131887838.42857143,1834453578.0,131032398.42857143
7.656119802696714e+16,1509143869.0,1277399481.0,234757574.0,231744388.0,66848.0,11.0,1998282.0,181662.0,1051.0,95.54545454545455,2408076805.0,218916073.1818182,2396574543.0,217870413.0
